Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),TDP(W),Cache Info,Integrated Graphics
Core i3-1125G4,Launched,Q1'21,4,8,10,3.70,N/A,N/A,8,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i3-1115G4 (with IPU),Launched,Q3'20,2,4,10,4.10,N/A,N/A,6,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i3-1125G4 (with IPU),Launched,Q1'21,4,8,10,3.70,N/A,N/A,8,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i3-1120G4,Launched,Q1'21,4,8,10,3.50,N/A,N/A,8,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i3-11100HE,Launched,Q3'21,4,8,10,4.40,N/A,N/A,8,Intel Smart Cache,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i3-10110U,Launched,Q3'19,2,4,14,4.10,2.10,15,4,Intel Smart Cache,Intel UHD Graphics for 10th Gen Intel Core Processors
Core i3-10110Y,Launched,Q3'19,2,4,14,4.00,1.00,7,4,Intel Smart Cache,Intel UHD Graphics for 10th Gen Intel Core Processors
Core i3-1005G1,Launched,Q3'19,2,4,10,3.40,1.20,15,4,Intel Smart Cache,Intel UHD Graphics for 10th Gen Intel Core Processors
Core i3-1000G1,Launched,Q3'19,2,4,10,3.20,1.10,9,4,Intel Smart Cache,Intel UHD Graphics for 10th Gen Intel Core Processors
Core i3-1000G4,Launched,Q3'19,2,4,10,3.20,1.10,9,4,Intel Smart Cache,Intel Iris Plus Graphics
Core i3-10320,Launched,Q2'20,4,8,14,4.60,3.80,65,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10300,Launched,Q2'20,4,8,14,4.40,3.70,65,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10300T,Launched,Q2'20,4,8,14,3.90,3.00,35,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10100,Launched,Q2'20,4,8,14,4.30,3.60,65,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10100T,Launched,Q2'20,4,8,14,3.80,3.00,35,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10325,Launched,Q1'21,4,8,14,4.70,3.90,65,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10105T,Launched,Q1'21,4,8,14,3.90,3.00,35,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10305,Launched,Q1'21,4,8,14,4.50,3.80,65,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10105,Launched,Q1'21,4,8,14,4.40,3.70,65,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10305T,Launched,Q1'21,4,8,14,4.00,3.00,35,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10100F,Launched,Q4'20,4,8,14,4.30,3.60,65,6,Intel Smart Cache,N/A
Core i3-10105F,Launched,Q1'21,4,8,14,4.40,3.70,65,6,Intel Smart Cache,N/A
Core i3-10100E,Launched,Q2'20,4,8,14,3.80,3.20,65,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10100TE,Launched,Q2'20,4,8,14,3.60,2.30,35,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-10100Y,Launched,Q1'21,2,4,14,3.90,1.30,5,4,Intel Smart Cache,Intel UHD 615 Graphics
Core i3-9100,Launched,Q2'19,4,4,14,4.20,3.60,65,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-9100T,Launched,Q2'19,4,4,14,3.70,3.10,35,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-9300T,Launched,Q2'19,4,4,14,3.80,3.20,35,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-9300,Launched,Q2'19,4,4,14,4.30,3.70,62,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-9350K,Launched,Q2'19,4,4,14,4.60,4.00,91,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-9100F,Launched,Q2'19,4,4,14,4.20,3.60,65,6,Intel Smart Cache,N/A
Core i3-9350KF,Launched,Q1'19,4,4,14,4.60,4.00,91,8,Intel Smart Cache,N/A
Core i3-9320,Launched,Q2'19,4,4,14,4.40,3.70,62,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-9100E,Launched,Q2'19,4,4,14,3.70,3.10,65,6,N/A,Intel UHD 630 Graphics
Core i3-9100HL,Launched,Q2'19,4,4,14,2.90,1.60,25,6,N/A,Intel UHD 630 Graphics
Core i3-9100TE,Launched,Q2'19,4,4,14,3.20,2.20,35,6,N/A,Intel UHD 630 Graphics
Core i3-8100,Launched,Q4'17,4,4,14,N/A,3.60,65,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-8350,Discontinued,Q4'17,4,4,14,N/A,4.00,91,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-8300,Discontinued,Q2'18,4,4,14,N/A,3.70,62,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-8300T,Discontinued,Q2'18,4,4,14,N/A,3.20,35,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-8100T,Launched,Q2'18,4,4,14,N/A,3.10,35,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-8109U,Launched,Q2'18,2,4,14,3.60,3.00,28,4,Intel Smart Cache,Intel Iris Plus Graphics 655
Core i3-8130U,Launched,Q1'18,2,4,14,3.40,2.20,15,4,Intel Smart Cache,Intel UHD 620 Graphics
Core i3-8145U,Launched,Q3'18,2,4,14,3.90,2.10,15,4,Intel Smart Cache,Intel UHD Graphics for 8th Gen Intel Processors
Core i3-8100H,Launched,Q3'18,4,4,14,N/A,3.00,45,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-8100B,Launched,Q3'18,4,4,14,N/A,3.60,65,6,Intel Smart Cache,Intel UHD 630 Graphics
Core i3-8145UE,Launched,Q2'19,2,4,14,3.90,2.20,15,4,Intel Smart Cache,Intel UHD 620 Graphics
Core i3-8140U,Launched,Q4'19,2,4,14,3.90,2.10,15,4,Intel Smart Cache,Intel UHD 620 Graphics
Core i3-7020U,Launched,Q2'18,2,4,14,N/A,2.30,15,3,Intel Smart Cache,Intel HD 620 Graphics
Core i3-7130U,Launched,Q2'17,2,4,14,N/A,2.70,15,3,Intel Smart Cache,Intel HD 620 Graphics
Core i3-7100U,Launched,Q3'16,2,4,14,N/A,2.40,15,3,Intel Smart Cache,Intel HD 620 Graphics
Core i3-7102E,Launched,Q1'17,2,4,14,N/A,2.10,25,3,N/A,Intel HD 630 Graphics
Core i3-7101TE,Launched,Q1'17,2,4,14,N/A,3.40,35,3,Intel Smart Cache,Intel HD 630 Graphics
Core i3-7100H,Launched,Q1'17,2,4,14,N/A,3.00,35,3,N/A,Intel HD 630 Graphics
Core i3-7101E,Launched,Q1'17,2,4,14,N/A,3.90,54,3,Intel Smart Cache,Intel HD 630 Graphics
Core i3-7100E,Launched,Q1'17,2,4,14,N/A,2.90,35,3,N/A,Intel HD 630 Graphics
Core i3-7100,Discontinued,Q1'17,2,4,14,N/A,3.90,51,3,Intel Smart Cache,Intel HD 630 Graphics
Core i3-7300T,Discontinued,Q1'17,2,4,14,N/A,3.50,35,4,Intel Smart Cache,Intel HD 630 Graphics
Core i3-7300,Discontinued,Q1'17,2,4,14,N/A,4.00,51,4,Intel Smart Cache,Intel HD 630 Graphics
Core i3-7320,Discontinued,Q1'17,2,4,14,N/A,4.10,51,4,Intel Smart Cache,Intel HD 630 Graphics
Core i3-7100T,Discontinued,Q1'17,2,4,14,N/A,3.40,35,3,Intel Smart Cache,Intel HD 630 Graphics
Core i3-7350K,Discontinued,Q1'17,2,4,14,N/A,4.20,60,4,Intel Smart Cache,Intel HD 630 Graphics
Core i3-7167U,Launched,Q1'17,2,4,14,N/A,2.80,28,3,N/A,Intel Iris Plus 650 Graphics
Core i3-6100U,Launched,Q3'15,2,4,14,N/A,2.30,15,3,Intel Smart Cache,Intel HD 520 Graphics
Core i3-6100TE,Launched,Q4'15,2,4,14,N/A,2.70,35,4,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6100H,Discontinued,Q3'15,2,4,14,N/A,2.70,35,3,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6100E,Launched,Q4'15,2,4,14,N/A,2.70,35,3,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6102E,Launched,Q4'15,2,4,14,N/A,1.90,25,3,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6300T,Discontinued,Q3'15,2,4,14,N/A,3.30,35,4,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6100,Launched,Q3'15,2,4,14,N/A,3.70,51,3,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6300,Discontinued,Q3'15,2,4,14,N/A,3.80,51,4,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6320,Discontinued,Q3'15,2,4,14,N/A,3.90,51,4,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6100T,Discontinued,Q3'15,2,4,14,N/A,3.20,35,3,Intel Smart Cache,Intel HD 530 Graphics
Core i3-6167U,Discontinued,Q3'15,2,4,14,N/A,2.70,28,3,Intel Smart Cache,Intel Iris 550 Graphics
Core i3-6006U,Discontinued,Q4'16,2,4,14,N/A,2.00,15,3,Intel Smart Cache,Intel HD 520 Graphics
Core i3-6098P,Discontinued,Q4'15,2,4,14,N/A,3.60,54,3,N/A,Intel HD 510 Graphics
Core i3-6157U,Discontinued,Q3'16,2,4,14,N/A,2.40,28,3,Intel Smart Cache,Intel Iris 550 Graphics
Core i3-5005U,Launched,Q1'15,2,4,14,N/A,2.00,15,3,N/A,Intel HD 5500 Graphics
Core i3-5010U,Launched,Q1'15,2,4,14,N/A,2.10,15,3,N/A,Intel HD 5500 Graphics
Core i3-5015U,Discontinued,Q1'15,2,4,14,N/A,2.10,15,3,N/A,Intel HD 5500 Graphics
Core i3-5020U,Discontinued,Q1'15,2,4,14,N/A,2.20,15,3,N/A,Intel HD 5500 Graphics
Core i3-5157U,Discontinued,Q1'15,2,4,14,N/A,2.50,28,3,N/A,Intel Iris 6100 Graphics
Core i3-4000M,Discontinued,Q4'13,2,4,22,N/A,2.40,37,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4005M,Discontinued,Q3'13,2,4,22,N/A,1.70,15,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4010U,Launched,Q3'13,2,4,22,N/A,1.70,15,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4100U,Discontinued,Q3'13,2,4,22,N/A,1.80,15,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4010Y,Discontinued,Q3'13,2,4,22,N/A,1.30,11.5,3,Intel Smart Cache,Intel HD 4200 Graphics
Core i3-4158U,Discontinued,Q3'13,2,4,22,N/A,2.00,28,3,Intel Smart Cache,Intel Iris 5100 Graphics
Core i3-4100E,Launched,Q3'13,2,4,22,N/A,2.40,37,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4102E,Launched,Q3'13,2,4,22,N/A,1.60,25,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4100M,Discontinued,Q4'13,2,4,22,N/A,2.50,37,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4012Y,Discontinued,Q3'13,2,4,22,N/A,1.50,11.5,3,Intel Smart Cache,Intel HD 4200 Graphics
Core i3-4020Y,Discontinued,Q3'13,2,4,22,N/A,1.50,11.5,3,Intel Smart Cache,Intel HD 4200 Graphics
Core i3-4130,Discontinued,Q3'13,2,4,22,N/A,3.40,54,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4130T,Discontinued,Q3'13,2,4,22,N/A,2.90,35,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4110M,Discontinued,Q2'14,2,4,22,N/A,2.60,37,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4150,Discontinued,Q2'14,2,4,22,N/A,3.50,54,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4150T,Discontinued,Q2'14,2,4,22,N/A,3.00,35,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4160,Discontinued,Q3'14,2,4,22,N/A,3.60,54,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4160T,Discontinued,Q3'14,2,4,22,N/A,3.10,35,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4170,Discontinued,Q1'15,2,4,22,N/A,3.70,54,3,N/A,Intel HD 4400 Graphics
Core i3-4350,Discontinued,Q2'14,2,4,22,N/A,3.60,54,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4350T,Launched,Q2'14,2,4,22,N/A,3.10,35,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4360,Launched,Q2'14,2,4,22,N/A,3.70,54,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4360T,Discontinued,Q3'14,2,4,22,N/A,3.20,35,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4370,Discontinued,Q3'14,2,4,22,N/A,3.80,54,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4330,Launched,Q3'13,2,4,22,N/A,3.50,54,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4330T,Discontinued,Q3'13,2,4,22,N/A,3.00,35,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4340,Discontinued,Q3'13,2,4,22,N/A,3.60,54,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4330TE,Launched,Q3'13,2,4,22,N/A,2.40,35,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4110E,Launched,Q2'14,2,4,22,N/A,2.60,37,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4112E,Launched,Q2'14,2,4,22,N/A,1.80,25,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4340TE,Launched,Q2'14,2,4,22,N/A,2.60,35,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4120U,Discontinued,Q2'14,2,4,22,N/A,2.00,15,3,N/A,Intel HD 4400 Graphics
Core i3-4030U,Discontinued,Q2'14,2,4,22,N/A,1.90,15,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4025U,Discontinued,Q2'14,2,4,22,N/A,1.90,15,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4030Y,Discontinued,Q2'14,2,4,22,N/A,1.60,11.5,3,Intel Smart Cache,Intel HD 4200 Graphics
Core i3-4370T,Discontinued,Q1'15,2,4,22,N/A,3.30,35,4,N/A,Intel HD 4600 Graphics
Core i3-4170T,Discontinued,Q1'15,2,4,22,N/A,3.20,35,3,N/A,Intel HD 4400 Graphics
Core m3-8100Y,Launched,Q3'18,2,4,14,3.40,1.10,5,4,Intel Smart Cache,Intel UHD 615 Graphics
Core m3-7Y30,Launched,Q3'16,2,4,14,2.60,1.00,4.5,4,Intel Smart Cache,Intel HD 615 Graphics
Core m3-7Y32,Launched,Q2'17,2,4,14,3.00,1.10,4.5,4,Intel Smart Cache,Intel HD 615 Graphics
Core m5-6Y57,Discontinued,Q3'15,2,4,14,2.80,1.10,4.5,4,Intel Smart Cache,Intel HD 515 Graphics
Core m3-6Y30,Discontinued,Q3'15,2,4,14,2.20,0.90,4.5,4,Intel Smart Cache,Intel HD 515 Graphics
Core m7-6Y75,Discontinued,Q3'15,2,4,14,3.10,1.20,4.5,4,Intel Smart Cache,Intel HD 515 Graphics
Core m5-6Y54,Discontinued,Q3'15,2,4,14,2.70,1.10,4.5,4,Intel Smart Cache,Intel HD 515 Graphics
Core M-5Y10,Discontinued,Q3'14,2,4,14,2.00,0.80,4.5,4,N/A,Intel HD 5300 Graphics
Core M-5Y10a,Discontinued,Q3'14,2,4,14,2.00,0.80,4.5,4,N/A,Intel HD 5300 Graphics
Core M-5Y70,Discontinued,Q3'14,2,4,14,2.60,1.10,4.5,4,N/A,Intel HD 5300 Graphics
Core M-5Y31,Discontinued,Q4'14,2,4,14,2.40,0.90,4.5,4,N/A,Intel HD 5300 Graphics
Core M-5Y51,Discontinued,Q4'14,2,4,14,2.60,1.10,4.5,4,N/A,Intel HD 5300 Graphics
Core M-5Y71,Discontinued,Q4'14,2,4,14,2.90,1.20,4.5,4,N/A,Intel HD 5300 Graphics
Core M-5Y10c,Discontinued,Q4'14,2,4,14,2.00,0.80,4.5,4,N/A,Intel HD 5300 Graphics
Core Duo L2300,Discontinued,N/A,2,N/A,65,N/A,1.50,15,2,L2 Cache,N/A
Core Duo L2400,Discontinued,Q1'06,2,N/A,65,N/A,1.66,15,2,L2 Cache,N/A
Core Duo L2500,Discontinued,N/A,2,N/A,65,N/A,1.83,15,2,L2 Cache,N/A
Core Duo T2050,Discontinued,N/A,2,N/A,65,N/A,1.60,31,2,L2 Cache,N/A
Core Duo T2250,Discontinued,N/A,2,N/A,65,N/A,1.73,31,2,L2 Cache,N/A
Core Duo T2300,Discontinued,N/A,2,2,65,N/A,1.66,31,2,L2 Cache,N/A
Core Duo T2300E,Discontinued,N/A,2,2,65,N/A,1.66,31,2,L2 Cache,N/A
Core Duo T2400,Discontinued,N/A,2,2,65,N/A,1.83,31,2,L2 Cache,N/A
Core Duo T2500,Discontinued,Q1'06,2,2,65,N/A,2.00,31,2,L2 Cache,N/A
Core Duo T2600,Discontinued,N/A,2,2,65,N/A,2.16,31,2,L2 Cache,N/A
Core Duo T2700,Discontinued,N/A,2,2,65,N/A,2.33,31,2,L2 Cache,N/A
Core Duo U2400,Discontinued,N/A,2,2,65,N/A,1.06,9,2,L2 Cache,N/A
Core Duo U2500,Discontinued,Q1'06,2,2,65,N/A,1.20,9,2,L2 Cache,N/A
Core Solo T1300,Discontinued,N/A,1,1,65,N/A,1.66,27,2,L2 Cache,N/A
Core Solo T1350,Discontinued,N/A,1,1,65,N/A,1.86,31,2,L2 Cache,N/A
Core Solo T1400,Discontinued,N/A,1,1,65,N/A,1.83,27,2,L2 Cache,N/A
Core Solo U1300,Discontinued,N/A,1,1,65,N/A,1.06,6,2,L2 Cache,N/A
Core Solo U1400,Discontinued,N/A,1,1,65,N/A,1.20,6,2,L2 Cache,N/A
Core2 Duo E6300,Discontinued,Q3'06,2,2,65,N/A,1.86,65,2,L2 Cache,N/A
Core2 Duo E6400,Discontinued,Q3'06,2,2,65,N/A,2.13,65,2,L2 Cache,N/A
Core2 Duo E6600,Discontinued,Q3'06,2,2,65,N/A,2.40,65,4,L2 Cache,N/A
Core2 Duo E6700,Discontinued,Q3'06,2,2,65,N/A,2.66,65,4,L2 Cache,N/A
Core2 Duo T5200,Discontinued,N/A,2,2,65,N/A,1.60,34,2,L2 Cache,N/A
Core2 Duo T5500,Discontinued,N/A,2,2,65,N/A,1.66,34,2,L2 Cache,N/A
Core2 Duo T5600,Discontinued,N/A,2,2,65,N/A,1.83,34,2,L2 Cache,N/A
Core2 Duo T7200,Discontinued,N/A,2,2,65,N/A,2.00,34,4,L2 Cache,N/A
Core2 Duo T7400,Discontinued,Q3'06,2,N/A,65,N/A,2.16,34,4,L2 Cache,N/A
Core2 Duo T7600,Discontinued,Q3'07,2,2,65,N/A,2.33,34,4,L2 Cache,N/A
Core2 X6800 Extreme,Discontinued,Q3'06,2,2,65,N/A,2.93,75,4,L2 Cache,N/A
Core Solo U1500,Discontinued,N/A,1,1,65,N/A,1.33,5.5,2,L2 Cache,N/A
Core2 Duo E4300,Discontinued,Q3'06,2,2,65,N/A,1.80,65,2,L2 Cache,N/A
Core2 Duo L7200,Discontinued,Q1'07,2,2,65,N/A,1.33,17,4,L2 Cache,N/A
Core2 Duo L7400,Discontinued,Q3'06,2,2,65,N/A,1.50,17,4,L2 Cache,N/A
Core2 QX6700 Extreme,Discontinued,Q4'06,4,4,65,N/A,2.66,130,8,L2 Cache,N/A
Core Duo T2350,Discontinued,N/A,2,2,65,N/A,1.86,31,2,L2 Cache,N/A
Core Duo T2450,Discontinued,N/A,2,2,65,N/A,2.00,31,2,L2 Cache,N/A
Core2 Duo E4400,Discontinued,Q2'07,2,2,65,N/A,2.00,65,2,L2 Cache,N/A
Core2 Duo E6320,Discontinued,Q2'07,2,2,65,N/A,1.86,65,4,L2 Cache,N/A
Core2 Duo E6420,Discontinued,Q2'07,2,2,65,N/A,2.13,65,4,L2 Cache,N/A
Core2 Duo L7300,Discontinued,Q2'07,2,2,65,N/A,1.40,17,4,L2 Cache,N/A
Core2 Duo L7500,Discontinued,Q3'06,2,2,65,N/A,1.60,17,4,L2 Cache,N/A
Core2 Duo T5300,Discontinued,N/A,2,2,65,N/A,1.73,34,2,L2 Cache,N/A
Core2 Duo T7100,Discontinued,Q2'07,2,2,65,N/A,1.80,35,2,L2 Cache,N/A
Core2 Duo T7300,Discontinued,Q2'07,2,2,65,N/A,2.00,35,4,L2 Cache,N/A
Core2 Duo T7500,Discontinued,Q3'06,2,2,65,N/A,2.20,35,4,L2 Cache,N/A
Core2 Duo T7700,Discontinued,Q2'07,2,2,65,N/A,2.40,35,4,L2 Cache,N/A
Core2 Duo U7500,Discontinued,Q3'06,2,2,65,N/A,1.06,10,2,L2 Cache,N/A
Core2 Duo U7600,Discontinued,Q2'07,2,2,65,N/A,1.20,10,2,L2 Cache,N/A
Core2 Quad Q6600,Discontinued,Q1'07,4,4,65,N/A,2.40,105,8,L2 Cache,N/A
Core2 QX6800 Extreme,Discontinued,Q2'07,4,4,65,N/A,2.93,130,8,L2 Cache,N/A
Core2 Duo E4500,Discontinued,Q3'07,2,2,65,N/A,2.20,65,2,L2 Cache,N/A
Core2 Duo E6540,Discontinued,Q3'07,2,2,65,N/A,2.33,65,4,L2 Cache,N/A
Core2 Duo E6550,Discontinued,Q3'07,2,2,65,N/A,2.33,65,4,L2 Cache,N/A
Core2 Duo E6750,Discontinued,Q3'07,2,2,65,N/A,2.66,65,4,L2 Cache,N/A
Core2 Duo E6850,Discontinued,Q3'07,2,2,65,N/A,3.00,65,4,L2 Cache,N/A
Core2 Duo T5250,Discontinued,N/A,2,2,65,N/A,1.50,35,2,L2 Cache,N/A
Core2 Duo T5450,Discontinued,N/A,2,2,65,N/A,1.66,35,2,L2 Cache,N/A
Core2 X7800 Extreme,Discontinued,Q3'07,2,2,65,N/A,2.60,44,4,L2 Cache,N/A
Core2 QX6850 Extreme,Discontinued,Q3'07,4,4,65,N/A,3.00,130,8,L2 Cache,N/A
Core2 Quad Q6700,Discontinued,Q3'07,4,4,65,N/A,2.66,105,8,L2 Cache,N/A
Core2 Duo T7250,Discontinued,Q3'07,2,2,65,N/A,2.00,35,2,L2 Cache,N/A
Core2 Duo T7800,Discontinued,Q3'07,2,2,65,N/A,2.60,35,4,L2 Cache,N/A
Core2 X7900 Extreme,Discontinued,Q3'07,2,2,65,N/A,2.80,44,4,L2 Cache,N/A
Core2 Duo T5470,Discontinued,N/A,2,2,65,N/A,1.60,35,2,L2 Cache,N/A
Core2 Solo U2100,Discontinued,Q3'07,1,1,65,N/A,1.06,5.5,1,L2 Cache,N/A
Core2 Solo U2200,Discontinued,Q3'07,1,1,65,N/A,1.20,5.5,1,L2 Cache,N/A
Core2 Duo E4600,Discontinued,Q4'07,2,2,65,N/A,2.40,65,2,L2 Cache,N/A
Core2 Duo L7700,Discontinued,Q3'07,2,2,65,N/A,1.80,17,4,L2 Cache,N/A
Core2 Duo T5550,Discontinued,N/A,2,2,65,N/A,1.83,35,2,L2 Cache,N/A
Core2 Duo T5270,Discontinued,N/A,2,2,65,N/A,1.40,35,2,L2 Cache,N/A
Core2 Duo T8300,Discontinued,Q1'08,2,2,45,N/A,2.40,35,3,L2 Cache,N/A
Core2 Duo E8200,Discontinued,Q1'08,2,2,45,N/A,2.66,65,6,L2 Cache,N/A
Core2 Duo E8400,Discontinued,Q1'08,2,2,45,N/A,3.00,65,6,L2 Cache,N/A
Core2 Duo E8500,Discontinued,Q1'08,2,2,45,N/A,3.16,65,6,L2 Cache,N/A
Core2 Duo T5750,Discontinued,Q1'08,2,2,65,N/A,2.00,35,2,L2 Cache,N/A
Core2 Duo T8100,Discontinued,Q1'08,2,2,45,N/A,2.10,35,3,L2 Cache,N/A
Core2 Duo T9300,Discontinued,Q1'08,2,2,45,N/A,2.50,35,6,L2 Cache,N/A
Core2 Duo T9500,Discontinued,Q1'08,2,N/A,45,N/A,2.60,35,6,L2 Cache,N/A
Core2 Duo U7700,Discontinued,Q1'08,2,2,65,N/A,1.33,10,2,L2 Cache,N/A
Core2 QX9650 Extreme,Discontinued,Q4'07,4,4,45,N/A,3.00,130,12,L2 Cache,N/A
Core2 Quad Q9300,Discontinued,Q1'08,4,4,45,N/A,2.50,95,6,L2 Cache,N/A
Core2 Quad Q9450,Discontinued,Q1'08,4,4,45,N/A,2.66,95,12,L2 Cache,N/A
Core2 Quad Q9550,Discontinued,Q1'08,4,4,45,N/A,2.83,95,12,L2 Cache,N/A
Core2 Duo E4700,Discontinued,Q1'08,2,2,65,N/A,2.60,65,2,L2 Cache,N/A
Core2 Duo E8190,Discontinued,Q1'08,2,2,45,N/A,2.66,65,6,L2 Cache,N/A
Core2 X9000 Extreme,Discontinued,Q1'08,2,2,45,N/A,2.80,44,6,L2 Cache,N/A
Core2 QX9770 Extreme,Discontinued,Q1'08,4,4,45,N/A,3.20,136,12,L2 Cache,N/A
Core2 QX9775 Extreme,Discontinued,Q1'08,4,4,45,N/A,3.20,150,12,L2 Cache,N/A
Core2 Duo E8300,Discontinued,Q2'08,2,2,45,N/A,2.83,65,6,L2 Cache,N/A
Core2 Duo T5670,Discontinued,Q2'08,2,2,65,N/A,1.80,35,2,L2 Cache,N/A
Core2 Duo E7200,Discontinued,Q2'08,2,2,45,N/A,2.53,65,3,L2 Cache,N/A
Core2 Quad Q9400,Discontinued,Q3'08,4,4,45,N/A,2.66,95,6,L2 Cache,N/A
Core2 Quad Q9650,Discontinued,Q3'08,4,4,45,N/A,3.00,95,12,L2 Cache,N/A
Core2 X9100 Extreme,Discontinued,Q3'08,2,2,45,N/A,3.06,44,6,L2 Cache,N/A
Core2 Duo T9400,Discontinued,Q3'08,2,2,45,N/A,2.53,35,6,L2 Cache,N/A
Core2 Duo T9600,Discontinued,Q3'08,2,N/A,45,N/A,2.80,35,6,L2 Cache,N/A
Core2 Duo P9500,Discontinued,Q3'08,2,2,45,N/A,2.53,25,6,L2 Cache,N/A
Core2 Duo P8600,Discontinued,Q3'08,2,2,45,N/A,2.40,25,3,L2 Cache,N/A
Core2 Duo P8400,Discontinued,Q3'08,2,2,45,N/A,2.26,25,3,L2 Cache,N/A
Core2 Duo T5800,Discontinued,Q4'08,2,2,65,N/A,2.00,35,2,L2 Cache,N/A
Core2 Duo E8600,Discontinued,Q3'08,2,2,45,N/A,3.33,65,6,L2 Cache,N/A
Core2 Duo E7300,Discontinued,Q3'08,2,2,45,N/A,2.66,65,3,L2 Cache,N/A
Core2 Duo E7400,Discontinued,Q1'08,2,2,45,N/A,2.80,65,3,L2 Cache,N/A
Core2 Duo E7500,Discontinued,Q1'09,2,2,45,N/A,2.93,65,3,L2 Cache,N/A
Core2 Quad Q8200,Discontinued,Q3'08,4,4,45,N/A,2.33,95,4,L2 Cache,N/A
Core2 Duo SL9300,Discontinued,Q3'08,2,2,45,N/A,1.60,17,6,L2 Cache,N/A
Core2 Duo SL9400,Discontinued,Q3'08,2,2,45,N/A,1.86,17,6,L2 Cache,N/A
Core2 Duo SP9300,Discontinued,Q3'08,2,2,45,N/A,2.26,25,6,L2 Cache,N/A
Core2 Duo SP9400,Discontinued,Q3'08,2,2,45,N/A,2.40,25,6,L2 Cache,N/A
Core2 Duo SU9300,Discontinued,Q3'08,2,2,45,N/A,1.20,10,3,L2 Cache,N/A
